reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,,
7,130,4,0,58,58,80,201.6479038,202.6484742,202.6484742,202.6484742,t,1.7266996,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
32,166,2,0,59,59,54,204.0656903,205.0661632,205.0661632,205.0661632,t,3.3485369,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
75,156,78,0,60,60,14,207.3171857,208.3175716,208.3175716,208.3175716,t,1.74171,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
46,68,85,0,61,61,22,209.8345037,210.8350805,210.8350805,210.8350805,t,1.3391749,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
78,80,162,0,62,62,6,213.4191865,214.4195501,214.4195501,214.4195501,t,2.1319613,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
44,144,35,0,63,63,99,215.7534245,216.7538921,216.7538921,216.7538921,t,2.4331507,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
52,83,49,0,64,64,9,218.9880526,219.9885809,219.9885809,219.9885809,t,0.8404668,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
5,117,97,0,65,65,69,221.288757,222.2894366,222.2894366,222.2894366,t,1.8266292,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
21,24,95,0,66,66,13,223.3062314,224.3067548,224.3067548,224.3067548,t,1.1404541,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
6,167,89,0,67,67,86,225.2904034,226.291184,226.291184,226.291184,t,2.3963284,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
70,89,50,0,68,68,17,227.4745576,228.475073,228.475073,228.475073,t,1.3065527,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
23,104,15,0,69,69,36,229.6086688,230.6092323,230.6092323,230.6092323,t,2.8069179,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
87,90,54,0,70,70,25,232.3097344,233.3101327,233.3101327,233.3101327,t,1.4317127,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
14,176,81,0,71,71,46,234.1602705,235.1609823,235.1609823,235.1609823,t,2.3516844,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
74,143,76,0,72,72,81,236.5112898,237.5118922,237.5118922,237.5118922,t,2.6552608,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
93,141,19,0,73,73,73,239.4458299,240.4465217,240.4465217,240.4465217,t,2.924618,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
29,105,30,0,74,74,63,242.2803353,243.2805845,243.2805845,243.2805845,t,1.4992152,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
95,153,64,0,75,75,66,244.8813202,245.8818117,245.8818117,245.8818117,t,2.5552024,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
80,90,22,0,76,76,24,247.2654243,248.2660285,248.2660285,248.2660285,t,1.3021463,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
63,89,13,0,77,77,23,249.6831652,250.6836437,250.6836437,250.6836437,t,1.2745136,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
54,100,51,0,78,78,98,252.8175143,253.8181392,253.8181392,253.8181392,t,1.0005177,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
98,121,17,0,79,79,61,255.3353167,256.3358194,256.3358194,256.3358194,t,0.9664633,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
9,133,69,0,80,80,41,257.7029539,258.7033639,258.7033639,258.7033639,t,1.1054216,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
66,146,33,0,81,81,84,260.3704292,261.3709539,261.3709539,261.3709539,t,0.8284652,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
16,129,14,0,82,82,35,267.3898724,268.3905117,268.3905117,268.3905117,t,1.3238041,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
3,56,98,0,83,83,10,270.090957,271.0915057,271.0915057,271.0915057,t,1.8149671,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
37,113,42,0,84,84,96,272.2418149,273.2421038,273.2421038,273.2421038,t,1.5768211,None,000668 pulkit,1,2023-11-17_16h56.05.247,mtg,2023.1.3,59.90226347,,
