reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
14,176,81,0,43,43,46,113.9322252,114.9329097,114.9329097,114.9329097,t,1.457504,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
6,167,89,0,44,44,86,116.4166019,117.4003729,117.4003729,117.4172967,t,1.3034555,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
19,154,3,0,45,45,95,118.1671563,119.1678041,119.1678041,119.1678041,t,1.0084984,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
17,110,60,0,46,46,78,119.6846566,120.6849759,120.6849759,120.6849759,t,0.7638947,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
43,89,18,0,47,47,26,121.0684728,122.0689949,122.0689949,122.0689949,t,1.2909632,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
29,105,30,0,48,48,63,123.9028383,124.9034818,124.9034818,124.9034818,t,0.8329572,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
25,102,29,0,49,49,56,125.7868668,126.7874305,126.7874305,126.7874305,t,1.0061516,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
79,567,88,0,50,50,20,128.6045455,129.6050689,129.6050689,129.6050689,t,1.3730332,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
84,158,63,0,51,51,65,130.5718614,131.5555201,131.5555201,131.5723108,t,0.8418672,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
59,65,58,0,52,52,18,132.1896043,133.1897985,133.1897985,133.1897985,t,0.8852798,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
36,129,86,0,53,53,60,134.8402029,135.8239247,135.8239247,135.8406059,t,0.7189907,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
67,340,150,0,54,54,8,136.4573753,137.4416762,137.4416762,137.4581962,t,0.4438956,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
52,83,49,0,55,55,9,141.8264288,142.8270013,142.8270013,142.8270013,t,0.4050681,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
31,100,11,0,56,56,91,144.193857,145.1945471,145.1945471,145.1945471,t,1.1437773,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
11,30,7,0,57,57,0,146.7782694,147.7787484,147.7787484,147.7787484,t,1.0326019,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
27,166,72,0,58,58,40,149.8626515,150.8631943,150.8631943,150.8631943,t,1.5167519,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
75,156,78,0,59,59,14,152.3972863,153.3976278,153.3976278,153.3976278,t,1.4647742,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
100,177,62,0,60,60,93,154.2310257,155.231621,155.231621,155.231621,t,1.4610943,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
34,105,16,0,61,61,72,155.8648926,156.8654834,156.8654834,156.8654834,t,0.7346181,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
67,169,56,0,62,62,30,157.2989536,158.2995301,158.2995301,158.2995301,t,0.4928655,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
58,154,77,0,63,63,45,158.8494259,159.8501598,159.8501598,159.8501598,t,0.3641401,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
4,155,48,0,64,64,50,160.2666341,161.2671876,161.2671876,161.2671876,t,1.8096642,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
21,24,95,0,65,65,13,161.7006955,162.7012057,162.7012057,162.7012057,t,0.8510717,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
91,176,10,0,66,66,85,163.1678547,164.1681216,164.1681216,164.1681216,t,0.9483934,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
11,130,84,0,67,67,49,164.4682548,165.4687903,165.4687903,165.4687903,t,0.6130747,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
53,139,44,0,68,68,42,165.8189113,166.8193938,166.8193938,166.8193938,t,1.3365383,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
90,149,94,0,69,69,44,167.1360605,168.1197765,168.1197765,168.1366699,t,1.5669626,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
38,147,99,0,70,70,55,168.5197701,169.5037759,169.5037759,169.5202806,t,1.5022758,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
20,171,67,0,71,71,39,169.8537401,170.8543163,170.8543163,170.8543163,t,0.8158588,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
13,123,90,0,72,72,94,171.1875282,172.1880657,172.1880657,172.1880657,t,0.4118234,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
7,130,4,0,73,73,80,173.1883646,174.1889222,174.1889222,174.1889222,t,0.3992894,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
9,133,69,0,74,74,41,174.6388898,175.6394535,175.6394535,175.6394535,t,0.4046802,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
88,90,52,0,75,75,15,176.8064097,177.8069863,177.8069863,177.8069863,t,0.446406,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
99,141,91,0,76,76,64,178.6238168,179.6240529,179.6240529,179.6240529,t,0.2750381,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
66,146,33,0,77,77,84,180.3578805,181.3583745,181.3583745,181.3583745,t,0.3217421,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
27,50,21,0,78,78,2,181.8749009,182.8753994,182.8753994,182.8753994,t,0.2972697,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
40,85,75,0,79,79,16,183.5090223,184.509647,184.509647,184.509647,t,0.3679131,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
33,133,93,0,80,80,62,185.3430516,186.3269682,186.3269682,186.3436729,t,0.4210563,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
46,68,85,0,81,81,22,187.0435955,188.0443462,188.0443462,188.0443462,t,1.1359413,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
56,100,23,0,82,82,7,188.6942418,189.6780434,189.6780434,189.6948871,t,0.8003941,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
3,56,98,0,83,83,10,190.3616153,191.362055,191.362055,191.362055,t,0.7059223,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
51,122,40,0,84,84,43,192.0787245,193.0794947,193.0794947,193.0794947,t,0.491627,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
64,137,27,0,85,85,82,193.9463396,194.9469126,194.9469126,194.9469126,t,0.8014901,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
45,164,32,0,86,86,34,195.863674,196.8644276,196.8644276,196.8644276,t,0.700514,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
78,116,6,0,87,87,75,197.4476607,198.4314639,198.4314639,198.4482382,t,0.6233645,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
15,140,53,0,88,88,70,198.8314007,199.8318586,199.8318586,199.8318586,t,0.6648103,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
62,170,79,0,89,89,87,200.181886,201.1824956,201.1824956,201.1824956,t,0.7005593,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
74,143,76,0,90,90,81,201.7325122,202.7330707,202.7330707,202.7330707,t,0.3707652,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
93,141,19,0,91,91,73,203.1497938,204.150334,204.150334,204.150334,t,0.5189999,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
49,60,89,0,92,92,4,204.6003511,205.5841581,205.5841581,205.6009195,t,0.3903996,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
57,122,55,0,93,93,33,205.984147,206.9846938,206.9846938,206.9846938,t,0.4261782,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
55,131,73,0,94,94,77,207.5347739,208.5352879,208.5352879,208.5352879,t,0.5048536,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
71,114,34,0,95,95,57,209.0688303,210.069255,210.069255,210.069255,t,0.6932356,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
65,172,43,0,96,96,59,210.7859718,211.78651,211.78651,211.78651,t,0.4611149,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
39,144,25,0,97,97,29,212.2699465,213.2704344,213.2704344,213.2704344,t,0.3200062,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
15,35,13,0,98,98,1,213.6205268,214.6210536,214.6210536,214.6210536,t,0.3157464,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
80,90,22,0,99,99,24,214.9543214,215.9550542,215.9550542,215.9550542,t,0.3265502,None,778634 xy,1,2023-11-22_19h41.39.214,mtg,2023.1.3,59.95275723,
